client_id,client_name,headquarters,industry,founded_year,num_employees,annual_revenue_usd
C0217,"Roberts, Thomas and Farmer",Cocos (Keeling) Islands,Finance,1955,55457,182447213.8
C0218,"Davidson, Peterson and Hanson",Colombia,Technology,1969,22352,321997580.6
C0219,"Sanchez, Williams and Gardner",Central African Republic,Industrials,1956,72123,845687463.6
C0220,Anderson PLC,Tajikistan,Energy,1958,58898,187716845.2
C0221,Hardy-Morrison,French Guiana,Consumer Goods,1974,52573,417873769.8
C0222,Dorsey-Gutierrez,Togo,Consumer Goods,2005,93260,989045472.9
C0223,"Buchanan, Gamble and Tran",Saint Vincent and the Grenadines,Consumer Goods,1996,9828,237363211.9
C0224,Padilla-Holmes,Benin,Energy,1961,57632,916915500.6
C0225,"Bishop, Lewis and King",Svalbard & Jan Mayen Islands,Technology,2018,40873,918479070.3
C0226,Stewart-Figueroa,Kyrgyz Republic,Industrials,1953,27343,92205045.86
C0227,"Kennedy, Martin and Shepard",Norfolk Island,Industrials,1954,20521,464189072.2
C0228,"Bryan, Garza and Wilson",Pakistan,Industrials,2017,12975,502714119
C0229,Lowe Ltd,British Virgin Islands,Industrials,1956,54023,314355281.1
C0230,"King, Hodge and Torres",Botswana,Industrials,2010,80693,48292197.7
C0231,Bowman and Sons,Sweden,Finance,1992,86807,242443951.6
C0232,"Carrillo, White and Johnson",Luxembourg,Energy,2001,56232,96434111.91
C0233,"Benton, Baldwin and Ruiz",Yemen,Industrials,1963,11493,239011655.8
C0234,"Holmes, Walker and Wright",Bangladesh,Technology,1977,20003,807983295.2
C0235,"Richardson, Davis and Banks",Burkina Faso,Industrials,1967,92577,895083309.6
C0236,Chavez Inc,Korea,Industrials,1988,47863,44179669.19
C0237,Johnson Inc,Christmas Island,Consumer Goods,2003,92559,302644889.4
C0238,Calderon-Jones,Armenia,Healthcare,1986,53917,980601616.4
C0239,Hodges LLC,Saint Lucia,Energy,2018,69405,539965317.7
C0240,"Brown, Myers and Fisher",Mayotte,Industrials,2020,12059,626683052.4
C0241,Taylor PLC,Cape Verde,Technology,1968,68173,6539863
C0242,Martinez Inc,Reunion,Consumer Goods,1962,59562,485424534
C0243,"Mcdowell, Alexander and Savage",Libyan Arab Jamahiriya,Industrials,1981,82221,988340206.1
C0244,"Lloyd, Evans and Walter",Comoros,Consumer Goods,2011,3910,375810342
C0245,Walters and Sons,Armenia,Healthcare,1987,98735,97941120.48
C0246,Meyer PLC,New Zealand,Finance,1997,84970,462446852.8
C0247,Estrada Group,Namibia,Industrials,1986,70632,963041461.5
C0248,"Murray, Wong and Jensen",Spain,Consumer Goods,1993,26091,342488783
C0249,"Morgan, Mcclain and Haley",Mozambique,Energy,1955,49188,799123810.5
C0250,Thomas-Burch,Turks and Caicos Islands,Technology,1962,64384,799047484.9
C0251,"Martin, Smith and Massey",France,Healthcare,2003,86989,209040048.4
C0252,Sanders Inc,Bouvet Island (Bouvetoya),Energy,1963,86204,443924334.1
C0253,"Kelley, Thomas and Harrison",Saint Lucia,Consumer Goods,1959,30396,715885673.9
C0254,"Nguyen, Madden and Sullivan",Saudi Arabia,Consumer Goods,1999,17849,411109265.6
C0255,Allen LLC,Saint Barthelemy,Consumer Goods,1962,64027,191815948.4
C0256,Howard-Lopez,Martinique,Consumer Goods,1979,82249,967526812.5
C0257,"Wade, Fields and Oneill",Bouvet Island (Bouvetoya),Consumer Goods,2013,43991,651099616.1
C0258,Kelly Inc,Bolivia,Healthcare,2003,85062,865594391.7
C0259,Soto-Jacobs,Canada,Healthcare,1993,88666,26217115.44
C0260,Ross-Turner,Botswana,Finance,1972,30888,267638909
C0261,Howard-Blair,Congo,Technology,1956,90601,502569029.2
C0262,Delacruz PLC,Afghanistan,Consumer Goods,1968,48417,68381186.49
C0263,"Ferguson, Gallegos and Knight",Cameroon,Technology,1967,19339,993040227.8
C0264,Mcintosh PLC,Western Sahara,Industrials,1971,89894,237225933.8
C0265,"Black, Gonzalez and Ellis",Netherlands,Industrials,2001,97613,374917890.2
C0266,"Ibarra, Rhodes and Vaughan",Sierra Leone,Energy,1981,66717,214797903
C0267,West-Baldwin,Guinea,Industrials,1973,63738,106340420.2
C0268,Miller-Sparks,Trinidad and Tobago,Consumer Goods,1950,61732,233247305.8
C0269,Franklin-Bowen,Colombia,Energy,1985,45949,301309525.4
C0270,Gregory PLC,Brunei Darussalam,Industrials,2014,83734,634807825.6
C0271,Bradshaw-Myers,Andorra,Finance,1978,8817,281953546.7
C0272,"Duarte, Rodriguez and Delgado",Macao,Finance,2010,51995,362914484.2
C0273,"Cabrera, Barnes and Irwin",Anguilla,Healthcare,1956,83656,6936900.88
C0274,Villarreal-Garcia,Australia,Finance,2003,91435,366353406.8
C0275,James and Sons,Honduras,Technology,1991,58168,534352095.7
C0276,Thornton-Williams,Swaziland,Finance,1951,14684,162853821.2
C0277,Thompson PLC,United States Virgin Islands,Technology,1995,47909,597835675.3
C0278,Vaughan Inc,Syrian Arab Republic,Healthcare,1980,91849,293859316.2
C0279,Norman PLC,Eritrea,Consumer Goods,2010,95665,632418444.3
C0280,"Cross, Jones and Guerrero",Guadeloupe,Consumer Goods,1993,87288,27170408.65
C0281,Pierce-Murphy,Congo,Energy,1954,24252,887705867
C0282,Knox and Sons,Cayman Islands,Energy,2007,26570,17102511.79
C0283,Wise LLC,Switzerland,Industrials,2010,56223,127831073
C0284,Lee Group,Lao People's Democratic Republic,Industrials,1951,45687,777385299.1
C0285,Hamilton-Mcmillan,Lithuania,Industrials,1966,35330,46849336.97
C0286,Beard Ltd,Holy See (Vatican City State),Healthcare,2019,40781,711287694.9
C0287,Lowe-Stokes,Japan,Industrials,1959,45400,971075094.4
C0288,"Maldonado, Thomas and Sutton",Timor-Leste,Energy,1956,15529,871811250.2
C0289,Lane-Nichols,Reunion,Consumer Goods,1966,67826,710451489.7
C0290,Williams-Harrison,Botswana,Technology,2012,67606,958551233.3
C0291,Decker-Wong,Cayman Islands,Finance,2001,92360,430383524.6
C0292,Anderson-Kane,Equatorial Guinea,Finance,1958,24748,873006035.4
C0293,Forbes-Martinez,Bouvet Island (Bouvetoya),Energy,1994,30050,356601710.3
C0294,Knight and Sons,Jordan,Healthcare,2003,96664,929833889.3
C0295,Williams Ltd,Bouvet Island (Bouvetoya),Finance,1964,51943,149628878.6
C0296,Jenkins-Reeves,Korea,Technology,1995,66853,940088985.9
C0297,"Banks, Allen and Olsen",Bulgaria,Finance,1963,25734,832883481.1
C0298,"Freeman, Gallegos and Swanson",Argentina,Healthcare,1961,90806,846208783.4
C0299,"Phillips, Perez and Finley",Iraq,Technology,1997,22976,124799086.9
C0300,Randall Ltd,Cote d'Ivoire,Energy,1960,8621,596890411.4
